team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Oklahoma City Thunder,2013,107,72,35,0.673,104.91,100.1,4.8,104.43,105.07,-0.65,0.5464,0.4921,0.4851,0.3453,0.2928,0.1628,0.474,55,42,106.8,98.96,52,30,102.9,101.31
Orlando Magic,2013,90,25,65,0.278,96.46,101.98,-5.52,98.46,104.64,-6.16,0.5194,0.4854,0.4851,0.2666,0.3729,0.21,0.4936,46,20,99.24,100.85,44,5,93.55,103.16
Philadelphia 76ers,2013,88,20,68,0.227,99.17,109.84,-10.67,90.98,104.12,-13.15,0.4837,0.4383,0.4208,0.3486,0.2826,0.1876,0.5228,45,11,100.18,110.27,43,9,98.12,109.4
Phoenix Suns,2013,88,52,36,0.591,104.67,101.98,2.69,98.82,95.13,3.7,0.5122,0.4948,0.4948,0.2407,0.3383,0.2035,0.4742,43,27,107.4,102.09,45,25,102.07,101.87
Portland Trail Blazers,2013,100,64,36,0.64,105.67,102.76,2.91,102.85,104.99,-2.15,0.5255,0.4759,0.4772,0.3008,0.3181,0.169,0.4821,50,36,106.84,101.76,50,28,104.5,103.76
Sacramento Kings,2013,89,33,56,0.371,100.43,102.65,-2.22,102.19,96.2,6.0,0.5377,0.4947,0.4947,0.3397,0.2727,0.173,0.4786,44,20,101.93,101.73,45,13,98.96,103.56
San Antonio Spurs,2013,111,80,31,0.721,105.36,97.99,7.37,110.59,103.57,7.02,0.579,0.5415,0.5364,0.2872,0.2512,0.149,0.5045,57,44,106.65,97.02,54,36,104.0,99.02
Toronto Raptors,2013,96,57,39,0.594,101.02,97.81,3.21,105.26,102.87,2.38,0.5624,0.4969,0.4969,0.4135,0.3294,0.1899,0.4744,50,32,103.3,98.72,46,25,98.54,96.83
Utah Jazz,2013,90,26,64,0.289,94.72,101.87,-7.14,92.86,100.6,-7.72,0.4816,0.4441,0.4441,0.2995,0.2976,0.1812,0.4889,44,17,96.23,100.02,46,9,93.28,103.63
Washington Wizards,2013,100,52,48,0.52,99.1,97.82,1.28,98.62,97.04,1.55,0.5039,0.4647,0.464,0.2899,0.3082,0.1574,0.4743,50,24,98.4,97.32,50,28,99.8,98.32
