team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Chicago Bulls,2019,37,15,106.92,108.14,33,9,106.94,111.58
Cleveland Cavaliers,2019,37,11,108.19,115.14,31,8,103.77,114.39
Dallas Mavericks,2019,36,20,115.67,109.17,36,22,115.92,110.53
Denver Nuggets,2019,34,26,111.26,105.26,35,21,109.31,108.46
Detroit Pistons,2019,36,13,109.19,111.44,35,10,104.94,110.11
Golden State Warriors,2019,37,10,108.24,115.73,33,7,105.03,114.39
Houston Rockets,2019,34,23,118.85,112.62,35,20,118.09,116.94
Indiana Pacers,2019,35,23,110.54,105.49,34,19,109.29,109.76
Los Angeles Clippers,2019,35,25,115.34,108.43,32,19,114.78,110.81
Los Angeles Lakers,2019,34,25,114.41,104.85,35,27,113.06,108.34
Memphis Grizzlies,2019,34,18,112.94,112.97,34,15,111.62,114.5
Miami Heat,2019,35,29,116.74,107.06,35,16,107.97,109.86
Milwaukee Bucks,2019,33,30,121.97,106.45,37,28,116.03,107.86
Minnesota Timberwolves,2019,32,8,110.69,115.34,36,12,115.28,119.86
New Orleans Pelicans,2019,33,14,118.7,117.58,36,19,115.19,116.67
New York Knicks,2019,36,11,105.25,110.5,34,11,106.15,113.59
Oklahoma City Thunder,2019,35,21,113.37,109.4,32,20,107.16,107.44
Orlando Magic,2019,34,16,103.5,105.79,37,17,108.08,107.59
Philadelphia 76ers,2019,33,30,112.09,102.27,36,12,106.92,110.64
Phoenix Suns,2019,37,14,113.27,113.19,32,14,111.25,114.16
Portland Trail Blazers,2019,34,18,116.03,115.03,36,12,111.03,115.61
Sacramento Kings,2019,33,15,109.85,111.33,35,15,109.14,111.11
San Antonio Spurs,2019,33,17,112.45,112.45,35,12,112.63,116.83
Toronto Raptors,2019,34,24,115.71,107.79,34,24,110.47,106.24
Utah Jazz,2019,33,21,111.24,107.73,35,20,111.26,110.37
Washington Wizards,2019,34,16,114.35,115.32,34,10,116.03,122.0
